class,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,median
FALSE,0.09659365243642425,0.03209423462883773,0.025207419055522033,0.032595166208664005,0.029954199846786135,0.013579055738760726,0.042490341952198564,0.04306851514927871,0.00838255567556691,0.06071628503961646,0.0896393102898977,0.014111982504608774,0.06058328140365813,0.04995781407880881,0.06831816751474015,0.07208964130214106,0.11970376786870653,0.05427582948482236,0.03507800741039042,0.051560772410570534,0.046513
TRUE,2.4898814820030477E-5,3.644463925188742E-5,2.4259463302200304E-5,0.013138265667889667,0.047586318957264576,0.425702489875059,0.18840122736388598,0.009935541245208368,5.6397552407176956E-5,4.623293057678709E-5,6.812702207598248E-4,5.10171650280021E-5,2.9935753516382923E-5,3.1885990181186634E-5,1.4591770962185267E-5,0.05113290723845651,0.24972343714842252,0.0066648729837824475,9.242943695620798E-5,0.006625575782269112,0.000387
FALSE,0.08461767570623857,0.0012345310072463512,7.047668892963465E-4,0.07807447713996445,5.480817677625134E-4,0.004110573218117182,2.441160530704854E-4,0.036472646241100574,0.06465474661595871,0.06188558683472839,0.09765992816016902,0.05934482212121157,0.06862784167703648,0.039084396186220165,1.0464420979867195E-4,0.024138180572242696,0.08898907758195342,0.1748958601234835,0.027093912789157622,0.08751413510524302,0.049215
TRUE,0.004092993822612228,7.270379294044413E-5,7.204823354321035E-5,0.009145191392701441,0.007342899021155345,0.028848080271279625,0.09007107152362025,0.03719519159816298,1.366646257716607E-4,1.5298383310059107E-4,0.0394021232043932,1.0403780585918503E-4,7.048536295077074E-5,0.0086410081112335,1.487457945762541E-4,0.6271227563235447,9.54572850040958E-5,5.403404219872997E-5,1.5011005338237533E-4,0.14708141390196955,0.002123
FALSE,0.05122240241418872,0.13025945584949664,0.009391485967305801,0.028317249245809292,0.00397701426251512,5.594992999488405E-4,0.009975800273237606,0.04623249751288896,2.833353553674701E-4,0.043399676047743314,0.14195986429588286,0.0658898389298019,0.05880035826521204,3.3397808722144124E-4,0.02948948235568564,0.10483086492990051,0.08870875713546245,0.04036026740508105,0.08154535002093774,0.06446282234631259,0.044816
FALSE,0.02862339594919712,0.0721469702156707,0.00863033672541916,0.02656065990962513,0.04247646973827404,0.07388031318470685,0.03561080180476098,0.061940725133644216,0.0767836039753268,0.06957226047225097,0.06774316776274117,0.021542198089905915,1.3961890819624804E-4,0.022457042149806965,0.07010630136292974,0.00633469648972181,0.08908539524073118,0.0750147078428557,0.03655084894975722,0.11480048609447797,0.052209
TRUE,1.9412111632568566E-4,0.12679827463467203,0.18171225648921077,4.775252891769052E-4,0.047333835603483795,0.011054776564811053,1.5437478988906755E-4,1.5957954212824927E-4,2.6944264243690895E-4,0.12123418284540917,0.1441190154925922,1.0200187992301917E-4,1.4919878230881266E-4,0.21397666987743552,0.04102996341617064,1.4700962780548203E-4,8.318158799130792E-4,0.07660901025945784,0.03336570294316487,2.812423236850419E-4,0.005943
TRUE,8.774236747859177E-5,0.1437217751774472,0.02926374789991648,1.99303818382965E-4,0.05928933513622206,0.13435624433564514,0.034387469525051985,3.2352684225090127E-4,1.1780237726531126E-4,1.6851433490947557E-4,0.28618971953774974,8.365526301057301E-5,0.2012017650889002,0.005644472378451027,0.008719043820727359,1.528872905711969E-4,0.07496703335495929,0.02099734915710427,9.76518671717291E-5,3.096042678468797E-5,0.007182
TRUE,0.023728321454182022,0.0542860819999602,2.5011729661698076E-4,0.0957913669148551,0.35339733124191924,0.12302678105968173,0.0660666592355248,0.006452959376766422,2.5194369720242315E-4,2.2975958168518765E-4,1.8567632257408684E-4,0.08666240745612507,0.039634829512397766,0.10121723767158376,4.187567888532548E-5,2.389610945576931E-4,8.665805540828874E-5,3.609594118154499E-5,0.0478455241094558,5.694122994368234E-4,0.015091
FALSE,1.6734172961798948E-4,0.043959202384444715,0.001895368096805457,0.07289961243646984,2.2973666415504866E-4,6.161643707027092E-4,0.08953686585693672,0.14424775958333463,0.0895638051649741,0.07323473587647107,0.09573365044427372,0.07483408458084477,0.047542856392388914,0.07395744258363579,0.045856958744950466,0.0010793234920542594,0.1233836878910537,0.0022937790669121747,2.499662841772262E-4,0.01871765835579673,0.046700
