Topic 00		803150.7842018101
	bush	12265.823226550172
	clinton	11303.557053866773
	campaign	9641.091300401416
	perot	9135.916150401546
	his	8981.734811651317
	bill	7451.485588703664
	party	6834.995415545515
	he's	6206.57732324654
	new	6079.005648615791
	george	5893.296845727375
	president	5665.748097514404
	democratic	5401.859909568259
	vote	5357.6138139514
	ross	5293.7780319369485
	republican	5241.116286702232
	election	5057.012639777142
	two	4911.003888279759
	voters	4828.709952038043
	political	4604.6143039234785
	governor	4582.267721392334


Topic 01		768086.7518768061
	can	6321.139726332972
	more	4894.404714345407
	their	4803.99166430465
	like	4782.455865809839
	new	3968.1044962997676
	some	3509.805820362184
	these	3481.800776296268
	into	3460.521705613366
	them	3248.6915046478684
	hundred	3246.2680182960103
	here	3235.6724464329354
	than	2961.7470058725967
	years	2867.026699777147
	its	2755.2434820367557
	computer	2547.9572033511176
	says	2502.3482900077574
	just	2498.163618450586
	two	2496.0765636711703
	thousand	2494.650155874454
	could	2429.4638084235157


Topic 02		752512.3398966502
	trade	7842.113404665697
	states	6991.615047385001
	united	6984.747282503973
	world	6649.902470601484
	yeltsin	5954.944650161634
	russia	5646.664267031663
	our	5156.179886373894
	american	4872.823955801099
	russian	4570.672671879389
	nafta	4531.1085365721665
	more	4468.100811905342
	president	4320.94528122937
	agreement	4162.822017657843
	countries	4070.0827900196364
	north	3785.545109571897
	mexico	3759.7828774422983
	which	3754.8550528180763
	government	3745.69302652434
	would	3700.0391583686405
	their	3685.183705168344


Topic 03		953933.6605730935
	percent	10490.15091600816
	market	9422.623821303278
	year	9291.769044495397
	dollars	8614.123908374899
	three	8283.98449064856
	two	8220.790525586239
	business	7642.153636639562
	more	7473.770453007475
	five	7434.293191921286
	hundred	7128.586685302266
	new	6745.843069259548
	point	5919.477852080626
	than	5583.145797970795
	rates	5252.903217515439
	money	5182.887252257333
	four	5120.1051599503935
	economy	5097.487036317447
	thousand	4699.977394299739
	company	4646.302873147979
	down	4357.388653267706


Topic 04		758878.4908204529
	health	16197.524705717507
	care	15938.5904063387
	their	7229.717137149129
	dollars	7223.662838865235
	government	7223.382325518769
	money	7075.893820541864
	pay	6340.626238140016
	system	6291.941895728316
	more	6171.139276949893
	insurance	6115.56408476071
	our	5625.995317932198
	plan	5454.505597552071
	would	5210.966682525344
	can	5021.795546877097
	work	5002.60733219487
	cost	4866.599349571816
	get	4326.331585789361
	jobs	4146.497998152233
	business	4037.558696808157
	reform	3838.094854094801


Topic 05		870522.8842260456
	here	9406.22801560076
	been	7763.332260603409
	some	6903.559336190048
	just	6409.9584717129055
	were	6401.23713007937
	can	4720.440177248575
	their	4674.528093691716
	down	4497.138993357925
	fire	4319.632352492296
	two	4299.638988157614
	area	4295.5484129597835
	hundred	4127.962189320113
	space	3975.048044599792
	get	3964.9989638548814
	right	3911.6159522919934
	see	3765.093744493137
	more	3748.074806269282
	california	3746.927877475231
	very	3735.379683251883
	five	3624.1860662653216


Topic 06		636214.3583235053
	school	8540.199173340563
	their	6388.965949397526
	them	5891.200044583402
	crime	5853.758689880458
	police	5395.869835778442
	more	5373.763745926811
	children	5243.8136643603775
	kids	5133.052270365088
	city	4266.709354067438
	violence	3998.3235383066503
	year	3930.430555014157
	our	3507.02668758869
	students	3437.937516374626
	new	3395.0465045967576
	schools	3327.1955714116275
	get	3322.2420424428146
	can	3137.8033164861345
	say	3012.9231607390093
	young	2939.3879759735623
	some	2903.078111650436


Topic 07		855700.5757327722
	president	35858.67768677164
	clinton	21044.772913124845
	his	18672.962516745636
	house	15020.900085114288
	white	13329.927196653549
	administration	6233.176739501836
	some	5851.609643377418
	very	5487.730677105686
	bill	5378.930047493893
	washington	5322.801385422124
	he's	5276.787701765506
	been	5266.277489043072
	today	4809.571654314925
	him	4404.380193202467
	said	4370.956960162238
	policy	4118.875689139539
	secretary	4052.938940865473
	time	3851.6487578956494
	congress	3816.761922004797
	first	3752.504817656645


Topic 08		580765.5908733296
	bosnia	7094.899932410501
	war	5417.902788382185
	serbs	4811.984437723713
	united	4515.667057730225
	been	4409.298800812934
	sarajevo	4306.970789475165
	bosnian	4154.980242339554
	their	4026.7619836569384
	air	3761.2438590613287
	nato	3501.6316697012653
	peace	3429.750782609127
	military	3267.060386719715
	troops	3204.300451154223
	nations	3026.421654326407
	would	3006.4992038467267
	were	2755.2308517060605
	more	2734.520161621481
	forces	2702.3979414741175
	today	2394.4203458711195
	strikes	2266.8900886942447


Topic 09		588091.1291386692
	black	6055.713798812234
	their	5616.850494637427
	our	4196.765186265912
	church	3530.2100636022697
	white	3439.235941106841
	country	3280.5928678870264
	south	3179.6262407219624
	rights	3174.3249265819645
	many	3155.238957150654
	american	3078.327114966287
	which	2814.751239570106
	years	2748.1196035177886
	government	2708.278734828021
	were	2703.478836766185
	nineteen	2424.307496865036
	his	2413.5617910191777
	been	2386.4511844871304
	african	2338.813603116676
	new	2330.4350703361706
	africa	2118.1582862258365


Topic 10		1169089.6175041797
	had	27222.232072607083
	his	26983.098343785554
	were	21853.80232934669
	him	18857.033634697465
	when	16572.90077328032
	did	15821.133482251935
	just	12871.662965550942
	said	12259.150314505694
	didn't	10037.414430946696
	like	10023.037350990624
	would	9553.438670001702
	then	8648.451232885314
	time	8221.92885563457
	years	7726.939963025787
	got	7572.937905243877
	back	7352.906361850368
	went	7088.8668239426315
	because	6965.538284909158
	never	6738.982123848165
	he's	6627.717370144268


Topic 11		716547.0890366917
	tax	13416.897970752118
	budget	7938.352769537429
	dollars	7921.676447680887
